final_rank,rank,player_display_name,position,season,expected_season_points,age_years,wnt_bucket,retention_multiplier,exit_rate,age_cliff_factor,dynasty_utility,dynasty_utility_vbd,match_key,consensus_player_name,consensus_position,consensus_team,consensus_age,sleeper_id,consensus_value,consensus_overall_rank,consensus_position_rank,consensus_trend_30day,consensus_position_percentile,_merge,model_rank,consensus_rank_for_corr,model_rank_matched,consensus_rank_matched,rank_divergence,rank_divergence_pct,model_utility_percentile,consensus_percentile_matched,seasons_seen,alpha,blended_percentile_within,final_dynasty_value
70,128.0,TreVeyon Henderson,RB,2025.0,175.33795242859466,23.274469541409992,Med,0.751394357731904,0.159,1.0,110.80002439508436,0.18767698787402765,treveyon henderson|RB,TreVeyon Henderson,RB,NE,23.8,12529,3545.0,47.0,17.0,-696.0,84.61538461538461,both,128.0,47.0,126.0,44.0,-82.0,35.5,44.827586206896555,74.13793103448276,1.0,0.45,60.948275862068975,2492.6801724137945
71,77.0,Parker Washington,WR,2025.0,205.8467066729331,23.805612594113622,Med,0.8383157894736843,0.172,1.0,142.88344277568447,23.207680187357653,parker washington|WR,Parker Washington,WR,JAX,24.4,9487,2600.0,73.0,30.0,644.0,81.41025641025641,both,77.0,73.0,77.0,68.0,-9.0,3.9,71.875,72.91666666666666,3.0,0.75,72.13541666666666,2474.6197916666615
72,30.0,Jaxson Dart,QB,2025.0,270.7808312023166,22.642026009582477,Low,0.8363636363636363,0.164,1.0,189.32995717665978,-3.2414940910207974,jaxson dart|QB,Jaxson Dart,QB,NYG,23.3,12508,2614.0,72.0,11.0,-186.0,85.71428571428571,both,30.0,72.0,30.0,67.0,37.0,16.0,67.5,75.0,1.0,0.45,71.625,2455.6337500000004
73,25.0,Dak Prescott,QB,2025.0,324.5266829348498,32.42984257357974,High,0.7911889792899409,0.25,1.0,192.57145126768057,0.0,dak prescott|QB,Dak Prescott,QB,DAL,33.1,3294,2154.0,88.0,15.0,-58.0,80.0,both,25.0,88.0,25.0,80.0,55.0,23.8,72.5,65.0,10.0,0.75,70.625,2424.0437500000003
74,20.0,Daniel Jones,QB,2025.0,289.97549157219356,28.525667351129364,Med,0.8236205057440866,0.147,1.0,203.7217861518344,11.150334884153835,daniel jones|QB,Daniel Jones,QB,IND,29.2,5870,1280.0,171.0,26.0,-49.0,64.28571428571429,both,20.0,171.0,20.0,146.0,126.0,54.5,77.5,42.5,7.0,0.75,68.75,2351.875
75,75.0,Quentin Johnston,WR,2025.0,206.8456214390144,24.34223134839151,Med,0.8383157894736843,0.172,1.0,143.5768149608608,23.901052372533968,quentin johnston|WR,Quentin Johnston,WR,LAC,25.0,9754,1948.0,99.0,42.0,-57.0,73.71794871794873,both,75.0,99.0,75.0,90.0,15.0,6.5,73.95833333333334,62.5,3.0,0.75,71.09375,2314.640625
76,76.0,Alec Pierce,WR,2025.0,206.70719868547536,25.67008898015058,Med,0.8383157894736843,0.172,1.0,143.48073220149186,23.804969613165042,alec pierce|WR,Alec Pierce,WR,IND,26.3,8142,1982.0,97.0,41.0,-225.0,74.35897435897436,both,76.0,97.0,76.0,88.0,12.0,5.2,72.91666666666666,63.541666666666664,4.0,0.75,70.57291666666666,2293.859374999999
77,37.0,Trey Benson,RB,2025.0,185.9527555555559,23.0,Rookie,1.1953232462173315,0.207,1.0,176.26300557108394,65.6506581638736,trey benson|RB,Trey Benson,RB,ARI,24.1,11589,781.0,222.0,66.0,-222.0,37.5,both,37.0,222.0,37.0,174.0,137.0,59.3,87.93103448275862,13.793103448275861,2.0,0.6,58.27586206896551,2252.0793103448277
78,8.0,Travis Hunter,WR,2025.0,208.91897777777805,22.0,Rookie,1.1439730801586347,0.051,1.0,226.80880449992415,107.13304191159733,travis hunter|WR,Travis Hunter,WR,JAX,23.3,12530,1774.0,116.0,48.0,-160.0,69.87179487179486,both,8.0,116.0,8.0,104.0,96.0,41.6,96.875,58.333333333333336,0.0,0.3,69.89583333333334,2250.6718750000014
79,95.0,Rico Dowdle,RB,2025.0,210.41501047170308,27.572895277207394,Med,0.751394357731904,0.159,1.0,132.96601203810178,22.353664630891444,rico dowdle|RB,Rico Dowdle,RB,PIT,28.2,7021,1902.0,101.0,31.0,111.0,71.15384615384616,both,95.0,101.0,95.0,92.0,-3.0,1.3,60.3448275862069,51.724137931034484,5.0,0.75,58.189655172413794,2249.573275862069
80,96.0,Marvin Harrison Jr.,WR,2025.0,191.1374866748268,23.37577002053388,Med,0.8383157894736843,0.172,1.0,132.67339847697366,12.99763588864684,marvin harrison|WR,Marvin Harrison Jr,WR,ARI,24.0,11628,3100.0,59.0,27.0,-197.0,83.33333333333334,both,96.0,59.0,96.0,54.0,-42.0,18.2,65.625,76.04166666666666,2.0,0.6,69.79166666666666,2243.8437499999986
81,87.0,Michael Pittman,WR,2025.0,200.63016805777124,28.243668720054757,Med,0.8383157894736843,0.172,1.0,139.26251043844326,19.58674785011644,michael pittman|WR,Michael Pittman,WR,PIT,28.9,6819,1797.0,112.0,46.0,64.0,71.15384615384616,both,87.0,112.0,87.0,101.0,14.0,6.1,69.79166666666666,59.375,6.0,0.75,67.1875,2091.609375
82,98.0,Rhamondre Stevenson,RB,2025.0,209.84387549250056,27.93429158110883,Med,0.751394357731904,0.159,1.0,132.60509890576495,21.99275149855461,rhamondre stevenson|RB,Rhamondre Stevenson,RB,NE,28.5,7611,1695.0,124.0,39.0,-74.0,63.46153846153846,both,98.0,124.0,98.0,111.0,13.0,5.6,58.620689655172406,39.6551724137931,5.0,0.75,53.87931034482758,2080.715517241379
83,102.0,J.K. Dobbins,RB,2025.0,206.917219861256,26.8911704312115,Med,0.751394357731904,0.159,1.0,130.7556789094298,20.143331502219468,jk dobbins|RB,J.K. Dobbins,RB,DEN,27.7,6806,1842.0,107.0,33.0,133.0,69.23076923076923,both,102.0,107.0,102.0,97.0,-5.0,2.2,55.172413793103445,48.275862068965516,5.0,0.75,53.44827586206897,2069.4137931034484
84,43.0,Joe Burrow,QB,2025.0,286.2027152805623,29.062286105407257,High,0.7911889792899409,0.25,1.0,169.83032562962825,-22.741125638052324,joe burrow|QB,Joe Burrow,QB,CIN,29.7,6770,3687.0,43.0,6.0,193.0,92.85714285714286,both,43.0,43.0,43.0,40.0,-3.0,1.3,52.5,87.5,6.0,0.75,61.25,2065.475000000001
85,108.0,RJ Harvey,RB,2025.0,200.13136055302778,24.966461327857633,Med,0.751394357731904,0.159,1.0,126.46754067991844,15.855193272708107,rj harvey|RB,RJ Harvey,RB,DEN,25.5,12489,2094.0,91.0,29.0,60.0,73.07692307692307,both,108.0,91.0,108.0,82.0,-26.0,11.3,50.0,55.172413793103445,1.0,0.45,52.8448275862069,2053.591379310345
86,78.0,Romeo Doubs,WR,2025.0,205.7425261075678,25.741273100616016,Med,0.8383157894736843,0.172,1.0,142.8111283914016,23.13536580307479,romeo doubs|WR,Romeo Doubs,WR,NE,26.4,8121,1448.0,147.0,60.0,-70.0,62.17948717948718,both,78.0,147.0,78.0,128.0,50.0,21.6,70.83333333333334,47.91666666666667,4.0,0.75,65.10416666666667,2028.1302083333335
87,112.0,DJ Moore,WR,2025.0,172.4122901773416,28.758384668035593,Med,0.8383157894736843,0.172,1.0,119.67576258832682,0.0,dj moore|WR,DJ Moore,WR,BUF,29.4,4983,2292.0,81.0,33.0,-3.0,79.48717948717949,both,112.0,81.0,112.0,73.0,-39.0,16.9,61.458333333333336,70.83333333333334,8.0,0.75,63.802083333333336,2000.3593750000002
88,120.0,Brian Thomas Jr.,WR,2025.0,166.3845853661937,23.255304585900067,Med,0.8383157894736843,0.172,1.0,115.4917791310602,-4.183983457266621,brian thomas|WR,Brian Thomas,WR,JAX,23.9,11631,3027.0,60.0,28.0,-151.0,82.6923076923077,both,120.0,60.0,119.0,55.0,-64.0,27.7,56.25,75.0,2.0,0.6,63.75,1998.8749999999998
89,148.0,Luther Burden III,WR,2025.0,138.3857905757981,22.09719370294319,Med,0.8383157894736843,0.172,1.0,96.05710243458984,-23.618660153736982,luther burden|WR,Luther Burden,WR,CHI,22.7,12519,3636.0,44.0,20.0,214.0,87.82051282051282,both,148.0,44.0,146.0,41.0,-105.0,45.5,40.625,82.29166666666666,1.0,0.45,63.541666666666664,1992.9374999999998
90,113.0,Terry McLaurin,WR,2025.0,219.18658524039358,30.299794661190965,High,0.738135593220339,0.265,1.0,118.91522378993335,-0.760538798393469,terry mclaurin|WR,Terry McLaurin,WR,WAS,30.9,5927,2223.0,85.0,35.0,72.0,78.2051282051282,both,113.0,85.0,113.0,77.0,-36.0,15.6,60.416666666666664,69.79166666666666,7.0,0.75,62.760416666666664,1969.1614583333333
91,38.0,Jared Goff,QB,2025.0,294.1412268346602,31.21971252566735,High,0.7911889792899409,0.25,1.0,174.54097276980434,-18.03047849787623,jared goff|QB,Jared Goff,QB,DET,31.9,3163,1872.0,102.0,18.0,-2.0,75.71428571428571,both,38.0,102.0,38.0,93.0,55.0,23.8,60.0,60.0,10.0,0.75,60.0,1959.1999999999996
92,94.0,Khalil Shakir,WR,2025.0,193.29115964055535,25.95208761122519,Med,0.8383157894736843,0.172,1.0,134.16831774447087,14.49255515614405,khalil shakir|WR,Khalil Shakir,WR,BUF,26.6,8134,1468.0,143.0,59.0,84.0,62.82051282051282,both,94.0,143.0,94.0,126.0,32.0,13.9,66.66666666666666,48.95833333333333,4.0,0.75,62.23958333333333,1952.3385416666663
93,110.0,Jayden Reed,WR,2025.0,181.39738706768335,25.700205338809035,Med,0.8383157894736843,0.172,1.0,125.91254722343382,6.236784635107,jayden reed|WR,Jayden Reed,WR,GB,26.3,10222,1754.0,117.0,49.0,142.0,69.23076923076923,both,110.0,117.0,110.0,105.0,-5.0,2.2,62.5,57.291666666666664,3.0,0.75,61.197916666666664,1942.828125
94,107.0,Kenny Gainwell,RB,2025.0,200.71072477953916,26.82546201232033,Med,0.751394357731904,0.159,1.0,126.83365406006212,16.22130665285178,kenny gainwell|RB,Kenny Gainwell,RB,TB,27.4,7567,1783.0,114.0,37.0,189.0,65.38461538461539,both,107.0,114.0,107.0,103.0,-4.0,1.7,51.724137931034484,41.37931034482759,5.0,0.75,49.13793103448276,1863.3362068965519
95,111.0,Dalton Kincaid,TE,2025.0,185.90405791810593,26.247775496235455,Med,0.7842767295597485,0.145,1.0,124.65919370529294,16.311652049831736,dalton kincaid|TE,Dalton Kincaid,TE,BUF,26.8,10236,1696.0,123.0,14.0,-5.0,81.15942028985508,both,111.0,123.0,111.0,110.0,-1.0,0.4,75.67567567567568,70.27027027027027,3.0,0.75,74.32432432432432,1822.5945945945941
96,52.0,Kaleb Johnson,RB,2025.0,173.7320666666668,22.0,Rookie,1.1953232462173315,0.207,1.0,164.67912047473652,54.066773067526185,kaleb johnson|RB,Kaleb Johnson,RB,PIT,23.0,12504,900.0,209.0,62.0,-275.0,41.34615384615385,both,52.0,209.0,52.0,168.0,116.0,50.2,81.03448275862068,17.24137931034483,1.0,0.45,45.94827586206897,1808.8112068965518
97,118.0,Tony Pollard,RB,2025.0,184.77484248840187,28.67624914442163,Med,0.751394357731904,0.159,1.0,116.76340901522921,6.151061608018878,tony pollard|RB,Tony Pollard,RB,TEN,29.3,5967,1631.0,130.0,42.0,-111.0,61.057692307692314,both,118.0,130.0,117.0,116.0,-1.0,0.4,48.275862068965516,36.206896551724135,7.0,0.75,45.25862068965517,1800.594827586207
98,39.0,Sam Darnold,QB,2025.0,246.8350533925239,28.654346338124572,Med,0.8236205057440866,0.147,1.0,173.41354501847283,-19.15790624920774,sam darnold|QB,Sam Darnold,QB,SEA,29.2,4943,1509.0,138.0,22.0,48.0,70.0,both,39.0,138.0,39.0,122.0,83.0,35.9,57.49999999999999,50.0,8.0,0.75,55.62499999999999,1800.5624999999998
99,137.0,David Montgomery,RB,2025.0,162.93664199911535,28.57221081451061,Med,0.751394357731904,0.159,1.0,102.96335538483741,-7.648992022372923,david montgomery|RB,David Montgomery,RB,HOU,29.2,5892,2292.0,80.0,26.0,-97.0,75.96153846153845,both,137.0,80.0,135.0,73.0,-62.0,26.8,39.6551724137931,60.3448275862069,7.0,0.75,44.82758620689655,1800.103448275862
100,129.0,Zach Charbonnet,RB,2025.0,175.0409588227588,25.021218343600275,Med,0.751394357731904,0.159,1.0,110.61234740721034,0.0,zach charbonnet|RB,Zach Charbonnet,RB,SEA,25.6,9753,1801.0,109.0,34.0,15.0,68.26923076923077,both,129.0,109.0,127.0,99.0,-28.0,12.1,43.103448275862064,46.55172413793103,3.0,0.75,43.9655172413793,1799.1206896551723
101,153.0,Derrick Henry,RB,2025.0,270.79016172901703,31.994524298425734,High,0.5434400984927044,0.355,1.0,94.91705974376268,-15.695287663447658,derrick henry|RB,Derrick Henry,RB,BAL,32.6,3198,3332.0,52.0,19.0,270.0,82.6923076923077,both,153.0,52.0,150.0,48.0,-102.0,44.2,34.48275862068966,72.41379310344827,10.0,0.75,43.96551724137932,1799.1206896551723
102,218.0,Bhayshul Tuten,RB,2025.0,95.36164516422426,23.901437371663246,Low,0.882062534284147,0.159,1.0,70.7406598363385,-39.87168757087184,bhayshul tuten|RB,Bhayshul Tuten,RB,JAX,23.5,12490,2678.0,69.0,24.0,184.0,77.88461538461539,both,218.0,69.0,208.0,64.0,-144.0,62.3,13.793103448275861,63.793103448275865,1.0,0.45,41.293103448275865,1790.5189655172414
103,119.0,Tyrone Tracy Jr.,RB,2025.0,183.66626445565393,26.11088295687885,Med,0.751394357731904,0.159,1.0,116.06287344166392,5.450526034453588,tyrone tracy|RB,Tyrone Tracy,RB,NYG,26.7,11655,1472.0,142.0,45.0,75.0,57.692307692307686,both,119.0,142.0,118.0,125.0,7.0,3.0,46.55172413793103,32.758620689655174,2.0,0.6,41.03448275862069,1788.4551724137932
104,152.0,Chuba Hubbard,RB,2025.0,150.3037654821154,26.581793292265573,Med,0.751394357731904,0.159,1.0,94.98035451779062,-15.63199288941972,chuba hubbard|RB,Chuba Hubbard,RB,CAR,27.2,7594,2048.0,94.0,30.0,137.0,72.11538461538461,both,152.0,94.0,149.0,85.0,-64.0,27.7,36.206896551724135,53.44827586206896,5.0,0.75,40.51724137931034,1784.3275862068965
105,123.0,Jordan Addison,WR,2025.0,165.16357908185915,23.9315537303217,Med,0.8383157894736843,0.172,1.0,114.64424756557507,-5.031515022751748,jordan addison|WR,Jordan Addison,WR,MIN,24.6,9756,2099.0,90.0,37.0,-18.0,76.92307692307693,both,123.0,90.0,122.0,81.0,-41.0,17.7,54.166666666666664,67.70833333333334,3.0,0.75,57.552083333333336,1767.4895833333335
106,40.0,C.J. Stroud,QB,2025.0,246.60556959550746,24.28747433264887,Med,0.8236205057440866,0.147,1.0,173.25232156897502,-19.319129698705552,cj stroud|QB,C.J. Stroud,QB,HOU,24.9,9758,1717.0,121.0,21.0,-108.0,71.42857142857143,both,40.0,121.0,40.0,108.0,68.0,29.4,55.00000000000001,52.5,3.0,0.75,54.37500000000001,1766.4375000000002
107,46.0,Tyler Shough,QB,2025.0,239.38294820059346,26.26420260095825,Low,0.8363636363636363,0.164,1.0,167.37655738185492,-25.19489388582565,tyler shough|QB,Tyler Shough,QB,NO,26.9,12545,1822.0,108.0,19.0,107.0,74.28571428571429,both,46.0,108.0,46.0,98.0,52.0,22.5,50.0,57.49999999999999,1.0,0.45,54.125,1759.6125
108,115.0,Jalen Coker,WR,2025.0,168.93257093681243,24.194387405886378,Med,0.8383157894736843,0.172,1.0,117.26040082220644,-2.415361766120384,jalen coker|WR,Jalen Coker,WR,CAR,24.8,11646,1661.0,127.0,52.0,190.0,67.3076923076923,both,115.0,127.0,115.0,114.0,-1.0,0.4,58.333333333333336,54.166666666666664,2.0,0.6,56.66666666666667,1753.6666666666667
109,116.0,Courtland Sutton,WR,2025.0,215.8814332272507,30.288843258042437,High,0.738135593220339,0.265,1.0,117.12208078863347,-2.5536817996933507,courtland sutton|WR,Courtland Sutton,WR,DEN,30.9,5045,1622.0,131.0,54.0,77.0,66.02564102564102,both,116.0,131.0,116.0,117.0,1.0,0.4,57.291666666666664,52.083333333333336,8.0,0.75,55.989583333333336,1752.3802083333333
110,104.0,Jauan Jennings,WR,2025.0,184.86965191290162,28.520191649555098,Med,0.8383157894736843,0.172,1.0,128.32273470387798,8.646972115551165,jauan jennings|WR,Jauan Jennings,WR,MIN,29.1,7049,1006.0,198.0,84.0,-47.0,46.794871794871796,both,104.0,198.0,104.0,161.0,57.0,24.7,63.541666666666664,32.29166666666667,5.0,0.75,55.72916666666667,1748.677083333334
111,122.0,Jake Ferguson,TE,2025.0,171.10345974707522,26.95687885010267,Med,0.7842767295597485,0.145,1.0,114.73455486190905,6.387013206447847,jake ferguson|TE,Jake Ferguson,TE,DAL,27.6,8110,1700.0,122.0,13.0,-86.0,82.6086956521739,both,122.0,122.0,121.0,109.0,-12.0,5.2,72.97297297297297,72.97297297297297,4.0,0.75,72.97297297297297,1743.7837837837837
112,155.0,Kyle Monangai,RB,2025.0,149.63127566927128,23.613963039014372,Med,0.751394357731904,0.159,1.0,94.55539296989687,-16.056954437313465,kyle monangai|RB,Kyle Monangai,RB,CHI,24.2,12534,1799.0,110.0,35.0,-249.0,67.3076923076923,both,155.0,110.0,152.0,100.0,-52.0,22.5,32.758620689655174,44.827586206896555,1.0,0.45,39.396551724137936,1735.1310344827587
113,34.0,Justin Fields,QB,2025.0,255.2497439687765,26.69678302532512,Med,0.8236205057440866,0.147,1.0,179.3252715054763,-13.246179762204264,justin fields|QB,Justin Fields,QB,KC,27.5,7591,356.0,273.0,42.0,-87.0,41.42857142857143,both,34.0,273.0,34.0,197.0,163.0,70.6,62.5,17.5,5.0,0.75,51.25,1714.3999999999994
114,127.0,George Kittle,TE,2025.0,221.30908380041038,32.251882272416154,High,0.7637426900584795,0.344,1.0,110.8792159174435,2.531674261982303,george kittle|TE,George Kittle,TE,SF,32.9,4217,1972.0,98.0,10.0,0.0,86.95652173913044,both,127.0,98.0,125.0,89.0,-36.0,15.6,70.27027027027027,78.37837837837837,9.0,0.75,72.2972972972973,1704.3783783783786
115,125.0,Stefon Diggs,WR,2025.0,208.45459663426269,32.16974674880219,High,0.738135593220339,0.265,1.0,113.09280164941138,-6.582960938915434,stefon diggs|WR,Stefon Diggs,WR,,32.7,2449,1544.0,135.0,56.0,303.0,64.74358974358975,both,125.0,135.0,123.0,120.0,-3.0,1.3,53.125,51.041666666666664,11.0,0.75,52.604166666666664,1659.0104166666665
116,174.0,Jacory Croskey-Merritt,RB,2025.0,139.56468349993477,24.725530458590008,Med,0.751394357731904,0.159,1.0,88.19408532093205,-22.41826208627829,jacory croskeymerritt|RB,Jacory Croskey-Merritt,RB,WAS,25.4,12533,1797.0,111.0,36.0,132.0,66.34615384615384,both,174.0,111.0,169.0,101.0,-68.0,29.4,27.586206896551722,43.103448275862064,1.0,0.45,36.12068965517241,1658.673275862069
117,136.0,Josh Downs,WR,2025.0,148.56319439374022,24.39151266255989,Med,0.8383157894736843,0.172,1.0,103.1214976805944,-16.554264907732417,josh downs|WR,Josh Downs,WR,IND,25.0,9500,1942.0,100.0,43.0,116.0,73.07692307692307,both,136.0,100.0,134.0,91.0,-43.0,18.6,48.95833333333333,61.458333333333336,3.0,0.75,52.083333333333336,1640.2083333333335
118,106.0,MarShawn Lloyd,RB,2025.0,134.08022222222235,24.0,Rookie,1.1953232462173315,0.207,1.0,127.09348073880494,16.481133331594606,marshawn lloyd|RB,MarShawn Lloyd,RB,GB,25.6,11581,1224.0,180.0,56.0,140.0,47.11538461538461,both,106.0,180.0,106.0,149.0,43.0,18.6,53.44827586206896,20.689655172413794,1.0,0.45,35.43103448275862,1640.1974137931034
119,134.0,Woody Marks,RB,2025.0,167.64056465502676,25.048596851471594,Med,0.751394357731904,0.159,1.0,105.93587067778194,-4.676476729428401,woody marks|RB,Woody Marks,RB,HOU,25.6,12474,1391.0,157.0,48.0,71.0,54.807692307692314,both,134.0,157.0,132.0,136.0,4.0,1.7,41.37931034482759,29.310344827586203,1.0,0.45,34.741379310344826,1625.275
120,193.0,Blake Corum,RB,2025.0,127.30611583842717,25.16084873374401,Med,0.751394357731904,0.159,1.0,80.44761869958278,-30.16472870762756,blake corum|RB,Blake Corum,RB,LAR,25.7,11586,1863.0,103.0,32.0,5.0,70.1923076923077,both,193.0,103.0,185.0,94.0,-91.0,39.4,22.413793103448278,50.0,2.0,0.6,33.44827586206897,1603.9
121,138.0,Mike Evans,WR,2025.0,187.80252040089485,32.3668720054757,High,0.738135593220339,0.265,1.0,101.88843773122615,-17.78732485710067,mike evans|WR,Mike Evans,WR,SF,33.0,2216,1860.0,105.0,44.0,-43.0,72.43589743589743,both,138.0,105.0,136.0,96.0,-40.0,17.3,47.91666666666667,60.416666666666664,11.0,0.75,51.041666666666664,1582.1874999999995
122,131.0,Brenton Strange,TE,2025.0,161.57851707929046,25.034907597535934,Med,0.7842767295597485,0.145,1.0,108.3475416554612,0.0,brenton strange|TE,Brenton Strange,TE,JAX,25.7,9480,1448.0,146.0,17.0,-150.0,76.81159420289855,both,131.0,146.0,129.0,128.0,-1.0,0.4,67.56756756756756,62.16216216216216,3.0,0.75,66.21621621621622,1560.567567567568
123,126.0,Ricky Pearsall,WR,2025.0,161.20907676925916,25.352498288843258,Med,0.8383157894736843,0.172,1.0,111.89932677465629,-7.776435813670531,ricky pearsall|WR,Ricky Pearsall,WR,SF,26.0,11638,1427.0,149.0,62.0,-352.0,60.89743589743589,both,126.0,149.0,124.0,131.0,7.0,3.0,52.083333333333336,45.83333333333333,2.0,0.6,49.58333333333333,1538.625
124,158.0,Rachaad White,RB,2025.0,148.00198029261196,26.973305954825463,Med,0.751394357731904,0.159,1.0,93.52580430993936,-17.086543097270976,rachaad white|RB,Rachaad White,RB,WAS,27.6,8136,1602.0,132.0,43.0,-194.0,59.61538461538461,both,158.0,132.0,154.0,118.0,-36.0,15.6,31.03448275862069,34.48275862068966,4.0,0.75,31.89655172413793,1495.5344827586205
125,130.0,Deebo Samuel Sr.,WR,2025.0,202.1880830920779,29.965776865160848,High,0.738135593220339,0.265,1.0,109.69303218161176,-9.982730406715064,deebo samuel|WR,Deebo Samuel,WR,,30.6,5872,1315.0,167.0,69.0,469.0,56.41025641025641,both,130.0,167.0,128.0,144.0,16.0,6.9,51.041666666666664,41.66666666666667,7.0,0.75,48.69791666666667,1486.411458333334
126,121.0,Tre Tucker,WR,2025.0,165.3453796191867,24.82135523613963,Med,0.8383157894736843,0.172,1.0,114.7704399496636,-4.905322638663222,tre tucker|WR,Tre Tucker,WR,LV,25.5,10213,896.0,210.0,88.0,-13.0,44.230769230769226,both,121.0,210.0,120.0,169.0,49.0,21.2,55.208333333333336,29.166666666666668,3.0,0.75,48.697916666666664,1486.411458333333
127,49.0,Bryce Young,QB,2025.0,236.54280319898413,24.459958932238195,Med,0.8236205057440866,0.147,1.0,166.1827422303432,-26.388709037337378,bryce young|QB,Bryce Young,QB,CAR,25.1,9228,1417.0,152.0,25.0,48.0,65.71428571428571,both,49.0,152.0,49.0,133.0,84.0,36.4,47.5,45.0,3.0,0.75,46.875,1485.28125
128,86.0,Cam Ward,QB,2025.0,199.32005491847724,23.60848733744011,Med,0.8236205057440866,0.147,1.0,140.0319640246717,-52.539487243008864,cam ward|QB,Cam Ward,QB,TEN,24.2,12522,2090.0,92.0,17.0,3.0,77.14285714285715,both,86.0,92.0,86.0,83.0,-3.0,1.3,27.500000000000004,62.5,1.0,0.45,46.75,1483.6725000000001
129,144.0,Oronde Gadsden II,TE,2025.0,145.95362778525123,22.543463381245722,Med,0.7842767295597485,0.145,1.0,97.87016895611201,-10.47737269934919,oronde gadsden|TE,Oronde Gadsden,TE,LAC,23.2,12493,1575.0,133.0,15.0,-236.0,79.71014492753623,both,144.0,133.0,142.0,119.0,-23.0,10.0,56.75675675675676,67.56756756756756,1.0,0.45,62.7027027027027,1469.772972972973
130,55.0,Baker Mayfield,QB,2025.0,267.79346445156136,30.72142368240931,High,0.7911889792899409,0.25,1.0,158.90642834996095,-33.665022917719625,baker mayfield|QB,Baker Mayfield,QB,TB,31.4,4892,1752.0,119.0,20.0,21.0,72.85714285714285,both,55.0,119.0,55.0,106.0,51.0,22.1,42.5,55.00000000000001,8.0,0.75,45.625,1463.83125
131,135.0,Jalen McMillan,WR,2025.0,110.96533333333359,23.0,Rookie,1.1953232462173315,0.207,1.0,105.18307786886776,-14.492684719459064,jalen mcmillan|WR,Jalen McMillan,WR,TB,24.7,11618,1421.0,150.0,63.0,-63.0,60.256410256410255,both,135.0,150.0,133.0,132.0,-1.0,0.4,50.0,44.79166666666667,2.0,0.6,47.91666666666667,1458.416666666667
132,162.0,Jayden Higgins,WR,2025.0,132.40603137698125,23.08829568788501,Med,0.8383157894736843,0.172,1.0,91.90639924819357,-27.769363340133253,jayden higgins|WR,Jayden Higgins,WR,HOU,23.7,12484,1752.0,118.0,50.0,-30.0,68.58974358974359,both,162.0,118.0,158.0,106.0,-52.0,22.5,37.5,56.25,1.0,0.45,47.8125,1456.4375
133,114.0,Troy Franklin,WR,2025.0,171.08918596649497,22.90485968514716,Med,0.8383157894736843,0.172,1.0,118.75736225123934,-0.9184003370874763,troy franklin|WR,Troy Franklin,WR,DEN,23.5,11627,925.0,204.0,86.0,-152.0,45.51282051282051,both,114.0,204.0,114.0,165.0,51.0,22.1,59.375,30.208333333333332,2.0,0.6,47.708333333333336,1454.4583333333335
134,145.0,Xavier Worthy,WR,2025.0,140.50084441408936,22.666666666666668,Med,0.8383157894736843,0.172,1.0,97.52521518196136,-22.15054740636546,xavier worthy|WR,Xavier Worthy,WR,KC,23.3,11624,1694.0,125.0,51.0,-52.0,67.94871794871796,both,145.0,125.0,143.0,112.0,-31.0,13.4,42.70833333333333,55.208333333333336,2.0,0.6,47.70833333333333,1454.4583333333333
135,192.0,Matthew Golden,WR,2025.0,106.9050667826817,22.442162902121833,Low,0.8844155844155845,0.149,1.0,80.46077955536924,-39.214983032957576,matthew golden|WR,Matthew Golden,WR,GB,23.1,12501,2012.0,96.0,40.0,110.0,75.0,both,192.0,96.0,184.0,87.0,-97.0,42.0,26.041666666666668,64.58333333333334,1.0,0.45,47.23958333333334,1447.1432291666667
136,146.0,Kimani Vidal,RB,2025.0,153.48380512004272,24.366872005475702,Med,0.751394357731904,0.159,1.0,96.98989360832593,-13.622453798884408,kimani vidal|RB,Kimani Vidal,RB,LAC,25.0,11647,842.0,214.0,63.0,-37.0,40.38461538461539,both,146.0,214.0,144.0,171.0,27.0,11.7,37.93103448275862,15.517241379310345,2.0,0.6,28.96551724137931,1428.7655172413793
137,142.0,Jakobi Meyers,WR,2025.0,184.32317844932865,29.166324435318277,High,0.738135593220339,0.265,1.0,100.00079152168088,-19.674971066645938,jakobi meyers|WR,Jakobi Meyers,WR,JAX,29.8,5947,1441.0,148.0,61.0,-44.0,61.53846153846154,both,142.0,148.0,140.0,130.0,-10.0,4.3,44.79166666666667,46.875,7.0,0.75,45.3125,1427.65625
138,161.0,Davante Adams,WR,2025.0,238.79280826183987,33.08145106091718,High,0.738135593220339,0.265,0.71,91.98204873690273,-27.693713851424093,davante adams|WR,Davante Adams,WR,LAR,33.7,2133,2031.0,95.0,39.0,18.0,75.64102564102564,both,161.0,95.0,157.0,86.0,-71.0,30.7,38.54166666666667,65.625,11.0,0.75,45.3125,1427.65625
139,180.0,Jordan Mason,RB,2025.0,137.02253301809833,26.611909650924023,Med,0.751394357731904,0.159,1.0,86.58764283941532,-24.024704567795013,jordan mason|RB,Jordan Mason,RB,MIN,27.3,8408,1678.0,126.0,40.0,135.0,62.5,both,180.0,126.0,173.0,113.0,-60.0,26.0,25.862068965517242,37.93103448275862,4.0,0.75,28.879310344827587,1425.1293103448274
